nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846268,materials-sciences,National Cheng Kung University (NCKU),219,-,58,68,77.7,74.2,74.2,101+,101+,101+,101+,101+
3846268,materials-sciences,National Taiwan University of Science and Technology (Taiwan Tech),220,-,56.9,62.7,79.2,74,74,101+,101+,101+,101+,101+
3846268,materials-sciences,National Central University,376,-,47.1,57.2,76.2,67.9,67.9,101+,101+,101+,101+,101+
3846268,materials-sciences,National Chung Hsing University,377,-,47.6,61.6,76.5,68.2,68.2,101+,101+,101+,101+,101+
3846268,materials-sciences,National Sun Yat-sen University,378,-,48.6,59.8,77.6,69.6,69.6,101+,101+,101+,101+,101+
3846266,mathematics,National Taiwan University (NTU),109,70.5,77.5,75.1,73.1,68.2,68.2,52,70,151+,151+,151+
3846266,mathematics,National Tsing Hua University,163,-,62.3,73.6,87.9,62.9,62.9,151+,88,44,151+,151+
3846266,mathematics,National Cheng Kung University (NCKU),219,-,67.7,67.2,88.6,60.8,60.8,136,151+,33,151+,151+
3846266,mathematics,National Yang Ming Chiao Tung University,222,-,62.5,71.2,70.8,64.8,64.8,151+,108,151+,151+,151+
3846266,mathematics,National Sun Yat-sen University,371,-,62.8,60.9,66.3,57,57,151+,151+,151+,151+,151+
3846266,mathematics,National Central University,515,-,52.6,58.7,64.6,57,57,151+,151+,151+,151+,151+
3846267,medicine,National Taiwan University (NTU),70,76.2,73.9,77.7,89.6,80.1,80.1,48,32,151+,151+,151+
3846267,medicine,National Yang Ming Chiao Tung University,160,-,58.6,71.3,83.4,75.3,75.3,151+,76,151+,151+,151+
3846267,medicine,Taipei Medical University (TMU),168,-,65,72.1,80.6,71.9,71.9,98,66,151+,151+,151+
3846267,medicine,China Medical University ,203,-,57.7,59.5,83.6,72.1,72.1,151+,151+,151+,151+,151+
3846267,medicine,National Cheng Kung University (NCKU),213,-,60.2,71.7,82.3,68.4,68.4,148,72,151+,151+,151+
3846267,medicine,Kaohsiung Medical University,266,-,57.4,61.2,80.1,68,68,151+,151+,151+,151+,151+
3846267,medicine,Chang Gung University,307,-,49,57.2,82.1,73.1,73.1,151+,151+,151+,151+,151+
3846267,medicine,National Tsing Hua University,469,-,56,71,60.5,58.3,58.3,151+,79,151+,151+,151+
3846267,medicine,National Chung Hsing University,620,-,36.5,58,68.7,60.9,60.9,151+,151+,151+,151+,151+
3846269,modern-languages,National Taiwan University (NTU),53,78.5,80.4,74.1,-,-,-,53,70,-,-,-
3846269,modern-languages,National Chengchi University,114,-,71.8,64,-,-,-,101+,101+,-,-,-
3846269,modern-languages,National Taiwan Normal University,115,-,74.8,63.3,-,-,-,101+,101+,-,-,-
